candidate_id,rank,score,reasoning
CAND_0039754,1,1.0254,Senior Applied Scientist (16.2 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice | Highly Responsive
CAND_0052328,2,0.9899,Recommendation Systems Engineer (6.5 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0010770,3,0.9752,Recommendation Systems Engineer (15.2 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0018499,4,0.9615,Senior Machine Learning Engineer (7.2 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0027691,5,0.9523,NLP Engineer (6.5 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0055992,6,0.9464,AI Engineer (16.9 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0077337,7,0.9457,Staff Machine Learning Engineer (7.0 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | Highly Responsive
CAND_0081846,8,0.9228,Lead AI Engineer (6.7 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0068811,9,0.9145,Applied ML Engineer (8.0 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0041610,10,0.9056,Recommendation Systems Engineer (6.7 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0094759,11,0.9046,Lead AI Engineer (8.6 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0060054,12,0.9024,AI Engineer (6.4 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice | Highly Responsive
CAND_0069905,13,0.8997,Applied ML Engineer (6.6 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0041669,14,0.8949,Recommendation Systems Engineer (8.0 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0018722,15,0.8891,Recommendation Systems Engineer (6.6 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0039383,16,0.8884,Applied ML Engineer (7.1 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0005649,17,0.8867,Senior Data Scientist (7.4 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0083879,18,0.8807,Machine Learning Engineer (7.1 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0017960,19,0.8722,Recommendation Systems Engineer (7.7 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0007009,20,0.8657,Recommendation Systems Engineer (7.9 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0098846,21,0.8618,AI Engineer (7.6 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0011162,22,0.8578,Recommendation Systems Engineer (5.8 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0044855,23,0.8556,Senior Data Scientist (6.6 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0091534,24,0.8523,AI Engineer (16.6 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice | Highly Responsive
CAND_0044883,25,0.851,AI Engineer (6.3 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | Highly Responsive
CAND_0062247,26,0.8484,AI Engineer (7.3 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0058688,27,0.8477,AI Engineer (6.7 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | 30-Day Notice
CAND_0076251,28,0.8337,Search Engineer (7.6 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0018549,29,0.8272,Recommendation Systems Engineer (6.8 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0075574,30,0.8272,Machine Learning Engineer (5.7 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0066999,31,0.8269,Recommendation Systems Engineer (5.9 yrs) | Search/Matching Systems | 30-Day Notice
CAND_0050454,32,0.8241,AI Engineer (6.8 yrs) | Search/Matching Systems | 30-Day Notice
CAND_0042029,33,0.8154,Senior Data Scientist (6.5 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems
CAND_0006418,34,0.8012,Machine Learning Engineer (5.7 yrs) | Ranking Eval (NDCG/MRR) | Search/Matching Systems | Highly Responsive
CAND_0037566,35,0.8002,Machine Learning Engineer (6.9 yrs) | Search/Matching Systems | 30-Day Notice
